X,Y
0.653323,-0.00024669
0.703466,-0.000279688
0.751912,-0.00030824
0.802066,-0.000312395
0.851712,-0.00030858
0.901615,-0.000296087
0.951472,-0.000278793
1.00136,-0.000255835
1.05126,-0.000229046
1.10118,-0.000200705
1.15111,-0.000171957
1.20105,-0.000143475
1.25101,-0.000115525
1.30196,-8.89248e-05
1.3504,-6.58461e-05
1.40101,-4.38227e-05
1.45183,-2.4329e-05
1.50123,-8.22877e-06
1.55026,5.0633e-06
1.60051,1.60413e-05
1.65047,2.44894e-05
1.70053,3.07384e-05
1.75055,3.49139e-05
1.80058,3.73052e-05
1.85059,3.83868e-05
1.89561,3.82183e-05
1.95353,3.81979e-05
2.00302,3.55698e-05
2.05274,3.24724e-05
2.10244,2.90884e-05
2.15222,2.56044e-05
2.20195,2.20124e-05
2.25181,1.85401e-05
2.30215,1.51421e-05
2.35178,1.19922e-05
2.40112,9.04244e-06
2.45115,6.30497e-06
2.50106,3.87631e-06
2.55203,1.764e-06
2.6006,1.18231e-07
2.6511,-1.30044e-06
2.70078,-2.40704e-06
2.75091,-3.22307e-06
2.80082,-3.79996e-06
2.85083,-4.14246e-06
2.9008,-4.26537e-06
2.95079,-4.22971e-06
3.00078,-4.0807e-06
3.05077,-3.82399e-06
3.10177,-3.49913e-06
3.15027,-3.09074e-06
3.20109,-2.66682e-06
3.25077,-2.24793e-06
3.3009,-1.81049e-06
3.35084,-1.40328e-06
3.40184,-1.00874e-06
3.45182,-6.26191e-07
3.50011,-2.6386e-07
3.55125,1.34526e-07
3.60059,3.54273e-07
3.65088,6.73603e-07
3.7007,8.6851e-07
3.74578,1.02375e-06
3.80316,2.64364e-06
3.85195,2.34998e-06
3.90195,4.11626e-07
3.95171,-3.37456e-07
4.00158,-8.59004e-07
4.05144,-1.24924e-06
4.10132,-1.4833e-06
4.15122,-1.61647e-06
4.20116,-1.65491e-06
4.25109,-1.60819e-06
4.30105,-1.50454e-06
4.35098,-1.36488e-06
4.40095,-1.19591e-06
4.45092,-1.01631e-06
4.50089,-8.63728e-07
4.55086,-6.80312e-07
4.60084,-4.70944e-07
4.65082,-2.5611e-07
4.70081,-6.815e-08
4.75079,9.37299e-08
4.80227,2.66438e-07
4.84494,3.36993e-07
4.90162,1.61048e-06
4.94778,3.2679e-06
4.99841,1.72754e-05
5.04879,7.71527e-06
5.10003,5.71262e-06
5.14883,6.64707e-06
5.20012,7.13527e-06
5.24917,7.37782e-06
5.30002,7.41562e-06
5.35078,7.28272e-06
5.39963,6.99026e-06
5.45037,6.57282e-06
5.50017,6.09041e-06
5.5503,5.511e-06
5.6003,4.92228e-06
5.65039,4.29904e-06
5.70042,3.69804e-06
5.75047,3.16691e-06
5.8005,2.6436e-06
5.85053,2.13489e-06
5.90055,1.69654e-06
5.95058,1.29882e-06
6.00059,9.55583e-07
6.05111,6.56268e-07
6.10143,3.98614e-07
6.15123,2.09185e-07
6.20021,8.73046e-08
6.25075,-1.53817e-08
6.30056,-1.01936e-07
6.35062,-1.28165e-07
6.40212,-1.50151e-07
6.45015,-1.15956e-07
6.49595,-9.53069e-08
6.55176,1.20619e-06
6.60117,2.25705e-06
6.65116,1.44487e-06
6.70107,7.54015e-07
6.75103,1.73708e-07
6.80098,-2.81146e-07
6.85094,-6.29244e-07
6.9009,-8.69753e-07
6.95087,-1.00734e-06
7.00085,-1.07446e-06
7.05083,-1.07781e-06
7.10082,-1.01396e-06
7.1508,-9.25185e-07
7.20079,-8.0398e-07
7.25078,-6.80686e-07
7.30176,-5.42057e-07
7.35028,2.5474e-06
7.40092,4.72252e-06
7.45066,5.9351e-06
7.50075,6.91496e-06
7.55084,7.41087e-06
7.60087,7.78986e-06
7.65137,8.02094e-06
7.70151,8.11784e-06
7.75128,8.07918e-06
7.80018,7.96827e-06
7.84923,2.21971e-05
7.89747,4.77652e-05
7.94636,-1.39831e-05
7.99535,-2.87151e-05
8.04461,-2.79884e-05
8.09382,-2.79052e-05
8.14321,-2.71893e-05
8.19255,-2.62831e-05
8.2421,-2.61277e-05
8.29171,-2.36082e-05
8.34236,-2.82036e-05
8.39059,-1.46568e-05
8.44182,-1.98204e-05
8.48964,2.95597e-05
8.53806,3.35822e-05
8.59064,3.47666e-05
8.63986,3.40632e-05
8.69017,3.27697e-05
8.73999,3.13165e-05
8.78998,2.94559e-05
8.83993,2.7276e-05
8.88986,2.49775e-05
8.93985,2.26149e-05
8.98982,2.03698e-05
9.03978,1.8223e-05
9.08974,1.62323e-05
9.13972,1.44084e-05
9.18724,1.28092e-05
9.2412,1.11338e-05
9.28988,4.67297e-05
9.34027,3.98471e-05
9.38997,2.93858e-05
